GEOID,NAME,POPCOUNT
05000US19151,"Pocahontas County, Iowa",6898
05000US19157,"Poweshiek County, Iowa",18605
05000US19159,"Ringgold County, Iowa",4984
05000US19161,"Sac County, Iowa",9868
05000US19165,"Shelby County, Iowa",11694
05000US19167,"Sioux County, Iowa",34825
05000US19171,"Tama County, Iowa",17136
05000US19173,"Taylor County, Iowa",6201
05000US19175,"Union County, Iowa",12453
05000US19177,"Van Buren County, Iowa",7223
05000US19179,"Wapello County, Iowa",35315
05000US19181,"Warren County, Iowa",49361
05000US19183,"Washington County, Iowa",22143
05000US19185,"Wayne County, Iowa",6413
05000US19187,"Webster County, Iowa",36757
05000US19189,"Winnebago County, Iowa",10571
05000US19191,"Winneshiek County, Iowa",20401
05000US19195,"Worth County, Iowa",7489
05000US19197,"Wright County, Iowa",12804
05000US20001,"Allen County, Kansas",12630
05000US20003,"Anderson County, Kansas",7852
05000US20005,"Atchison County, Kansas",16363
05000US20007,"Barber County, Kansas",4733
05000US20009,"Barton County, Kansas",26791
05000US20011,"Bourbon County, Kansas",14702
05000US20013,"Brown County, Kansas",9664
05000US20017,"Chase County, Kansas",2645
05000US20019,"Chautauqua County, Kansas",3367
05000US20021,"Cherokee County, Kansas",20331
05000US20023,"Cheyenne County, Kansas",2677
05000US20025,"Clark County, Kansas",2053
05000US20027,"Clay County, Kansas",8142
05000US20029,"Cloud County, Kansas",9060
05000US20031,"Coffey County, Kansas",8296
05000US20033,"Comanche County, Kansas",1780
05000US20035,"Cowley County, Kansas",35591
05000US20037,"Crawford County, Kansas",39108
05000US20039,"Decatur County, Kansas",2881
05000US20041,"Dickinson County, Kansas",19004
05000US20043,"Doniphan County, Kansas",7736
05000US20047,"Edwards County, Kansas",2925
05000US20049,"Elk County, Kansas",2562
05000US20051,"Ellis County, Kansas",28878
05000US20053,"Ellsworth County, Kansas",6293
05000US20055,"Finney County, Kansas",36957
05000US20057,"Ford County, Kansas",34484
05000US20059,"Franklin County, Kansas",25563
05000US20061,"Geary County, Kansas",34895
05000US20063,"Gove County, Kansas",2619
05000US20065,"Graham County, Kansas",2545
05000US20067,"Grant County, Kansas",7616
05000US20069,"Gray County, Kansas",6037
05000US20071,"Greeley County, Kansas",1200
05000US20073,"Greenwood County, Kansas",6156
05000US20075,"Hamilton County, Kansas",2616
05000US20077,"Harper County, Kansas",5673
05000US20079,"Harvey County, Kansas",34555
05000US20081,"Haskell County, Kansas",4047
05000US20083,"Hodgeman County, Kansas",1842
05000US20085,"Jackson County, Kansas",13318
05000US20087,"Jefferson County, Kansas",18888
05000US20089,"Jewell County, Kansas",2916
05000US20093,"Kearny County, Kansas",3932
05000US20095,"Kingman County, Kansas",7470
05000US20097,"Kiowa County, Kansas",2526
05000US20099,"Labette County, Kansas",20367
05000US20101,"Lane County, Kansas",1642
05000US20105,"Lincoln County, Kansas",3097
05000US20107,"Linn County, Kansas",9635
05000US20109,"Logan County, Kansas",2810
05000US20111,"Lyon County, Kansas",33299
